route_id,route_id,valley metro survey ID,route_type,route_name,total_c,white_c,black_c,asian_c,latino_c,other_c,poc_c,male_c,female_c,pct_white_c,pct_black_c,pct_asian_c,pct_latino_c,pct_other_c,pct_poc_c,totalhhs_c,totalhhs_cv_c,below15k_c,below15k_cv_c,below15k_prop_c,below15k_prop_moe_c,below20k_c,below20k_cv_c,below20k_prop_c,below20k_prop_moe_c,below25k_c,below25k_cv_c,below25k_prop_c,below25k_prop_moe_c,above50k_c,above50k_cv_c,above50k_prop_c,above50k_prop_moe_c,above100k_c,above100k_cv_c,above100k_prop_c,above100k_prop_moe_c,total_r,white_r,black_r,aisan_r,amerindian_r,latino_r,other_r,poc_r,pct_white_r,pct_black_r,pct_asian_r,pct_amerindian_r,pct_latino_r,pct_other_r,pct_poc_r,below15_r,below20_r,below25_r,above50_r,above100_r,below15k_prop_r,below20k_prop_r,below25k_prop_r,above50k_prop_r,above100k_prop_r,white_diff,black_diff,asian_diff,latino_diff,poc_diff,below15k_diff,below25k_diff,above50k_diff
05192014download:6,6,B_112,Local,Country Club/Arizona Ave,33960,12807,1844,626,16498,2186,21153,17257,16702,0.377,0.054,0.018,0.486,0.064,0.623,12808,0.003,1883.394,0.108,0.147,0.026,2736.090,0.090,0.214,0.032,3660.110,0.079,0.286,0.037,4664.778,0.066,0.364,0.040,1132.782,0.139,0.088,0.020,1433,714,161,74,31,453,0,719,0.498014308,0.112462049,0.051809457,0.021615774,0.316098412,0,0.501985692,465.0769307,632.7525079,846.7652964,263.4842825,68.13,0.324598346,0.441626759,0.590996019,0.183897666,0.047551026,-0.121,-0.058,-0.033,0.170,0.064,-0.178,-0.305,0.180
05192014download:7,7,B_12,Local,12th Street,33916,15686,1964,535,13960,1771,18230,17444,16472,0.462,0.058,0.016,0.412,0.052,0.538,13898,0.002,3028.137,0.082,0.218,0.029,3710.379,0.073,0.267,0.032,4724.892,0.065,0.340,0.036,5526.990,0.060,0.398,0.039,1703.331,0.109,0.123,0.022,1459,780,278,16,34,345,6,679,0.534706326,0.190487287,0.010828593,0.023199232,0.236474539,0.004304023,0.465293674,525.1771408,562.6685692,667.8099976,160.4657136,23.7514284,0.359928371,0.385622994,0.457681315,0.109974632,0.016277961,-0.072,-0.133,0.005,0.175,0.048,-0.142,-0.118,0.288
05192014download:8,8,B_120,Local,Mesa Drive,15432,5596,607,88,8450,691,9837,7566,7866,0.363,0.039,0.006,0.548,0.045,0.637,5393,0.004,990.656,0.121,0.184,0.036,1395.425,0.101,0.259,0.043,1811.144,0.089,0.336,0.049,1729.720,0.099,0.321,0.052,476.946,0.203,0.088,0.030,398,239,0,0,31,128,0,159,0.599608296,0,0,0.07906895,0.321322754,0,0.400391704,48.72,196.38,217.01,18.326668,0,0.122328047,0.493078447,0.544877043,0.046015302,0,-0.237,0.039,0.006,0.226,0.045,0.061,-0.209,0.275
05192014download:9,9,B_122,Local,Cactus/39th Ave,14058,8236,583,379,4270,590,5822,6814,7244,0.586,0.041,0.027,0.304,0.042,0.414,5359,0.004,570.958,0.180,0.107,0.032,946.252,0.141,0.177,0.041,1359.901,0.121,0.254,0.051,2507.451,0.090,0.468,0.069,684.485,0.167,0.128,0.035,108,47,21,0,6,33,0,61,0.434348108,0.197834737,0,0.05903581,0.308781345,0,0.565651892,19.83,19.83,32.19,31.5,0,0.183492181,0.183492181,0.297862497,0.291477746,0,0.151,-0.156,0.027,-0.005,0.042,-0.077,-0.044,0.176
05192014download:10,10,B_128,Local,Stapley,15290,7750,350,155,6488,547,7540,7664,7626,0.507,0.023,0.010,0.424,0.036,0.493,4858,0.004,557.604,0.174,0.115,0.033,855.777,0.136,0.176,0.040,1253.680,0.115,0.258,0.049,2224.508,0.079,0.458,0.059,659.818,0.145,0.136,0.032,388,303,0,0,0,45,41,85,0.780092294,0,0,0,0.114826368,0.105081337,0.219907706,136.85,141.74,226.41,65.43,0,0.352806208,0.365412875,0.583696409,0.168681843,0,-0.273,0.023,0.010,0.310,-0.069,-0.238,-0.326,0.289
05192014download:11,11,B_13,Local,Buckeye,12142,960,1064,188,9590,341,11182,6223,5920,0.079,0.088,0.015,0.790,0.028,0.921,3281,0.005,1322.241,0.097,0.403,0.064,1641.348,0.088,0.500,0.072,1944.708,0.082,0.593,0.080,512.551,0.195,0.156,0.050,86.784,0.536,0.026,0.023,1087,380,327,0,0,379,0,706,0.349975152,0.301080414,0,0,0.348944433,0,0.650024848,274.74,274.74,365.86,140.45,32.39,0.252839079,0.252839079,0.336695441,0.129254017,0.029808029,-0.271,-0.213,0.015,0.441,0.028,0.150,0.256,0.027
05192014download:12,12,B_136,Local,Gilbert Road,38313,24538,1327,896,10084,1469,13776,18950,19363,0.640,0.035,0.023,0.263,0.038,0.360,13484,0.002,1231.100,0.130,0.091,0.019,1774.528,0.105,0.132,0.023,2457.219,0.087,0.182,0.026,7473.178,0.046,0.554,0.042,3054.276,0.071,0.227,0.027,978,680,216,0,0,81,0,298,0.695354213,0.221334615,0,0,0.083311172,0,0.304645787,237.53,318.3,318.3,137.41,0,0.242957674,0.325573308,0.325573308,0.140549884,0,-0.055,-0.187,0.023,0.180,0.038,-0.152,-0.143,0.414
05192014download:13,13,B_138,Local,Thunderbird,32908,23189,1270,872,6292,1284,9719,16025,16883,0.705,0.039,0.027,0.191,0.039,0.295,13617,0.002,1638.689,0.117,0.120,0.023,2371.145,0.098,0.174,0.028,3368.168,0.083,0.247,0.034,6524.980,0.054,0.479,0.042,2425.472,0.085,0.178,0.025,1568,1163,144,0,45,163,53,404,0.742076022,0.09166874,0,0.028449139,0.103807464,0.033998635,0.257923978,457.40635,607.92635,857.372385,229.373175,0,0.291763118,0.387774431,0.546887117,0.146308928,0,-0.037,-0.053,0.027,0.087,0.005,-0.171,-0.300,0.333
05192014download:14,14,B_15,Local,15th Avenue,20311,8665,2147,413,7726,1360,11646,11682,8629,0.427,0.106,0.020,0.380,0.067,0.573,7503,0.003,1790.944,0.110,0.239,0.043,2350.753,0.097,0.313,0.050,2800.489,0.089,0.373,0.055,2695.388,0.081,0.359,0.048,911.444,0.134,0.121,0.027,3026,1264,664,38,291,768,0,1762,0.417714072,0.219613118,0.012595308,0.096221408,0.253856094,0,0.582285928,1402.827553,1675.510349,1902.343182,389.6435628,147.5627679,0.463628464,0.553748954,0.628716228,0.128775519,0.048768859,0.009,-0.114,0.008,0.127,0.067,-0.225,-0.255,0.230
05192014download:15,15,B_154,Local,Greenway,33461,22498,1121,939,7810,1093,10963,16609,16852,0.672,0.034,0.028,0.233,0.033,0.328,13790,0.002,1524.506,0.114,0.111,0.021,2336.893,0.092,0.169,0.026,2926.228,0.081,0.212,0.028,7222.789,0.049,0.524,0.042,3151.342,0.073,0.229,0.028,1087,455,176,79,0,376,0,631,0.418979862,0.162132312,0.072672385,0,0.34621544,0,0.581020138,320.75,448.98,570.52,153.53,45,0.295208556,0.413227552,0.525089276,0.141304348,0.041416633,0.253,-0.129,-0.045,-0.113,0.033,-0.185,-0.313,0.382
