OBJECTID,Join_Count,TARGET_FID,route_id,id_num,CE01_r,CE02_r,CE03_r,CNS01_r,CNS02_r,CNS03_r,CNS04_r,CNS05_r,CNS06_r,CNS07_r,CNS08_r,CNS09_r,CNS10_r,CNS11_r,CNS12_r,CNS13_r,CNS14_r,CNS15_r,CNS16_r,CNS17_r,CNS18_r,CNS19_r,CNS20_r,CR01_r,CR02_r,CR03_r,CR04_r,CR05_r,CR07_r,CT01_r,CT02_r,CD01_r,CD02_r,CD03_r,CD04_r,CS01_r,CS02_r,CE01_w,CE02_w,CE03_w,CNS01_w,CNS02_w,CNS03_w,CNS04_w,CNS05_w,CNS06_w,CNS07_w,CNS08_w,CNS09_w,CNS10_w,CNS11_w,CNS12_w,CNS13_w,CNS14_w,CNS15_w,CNS16_w,CNS17_w,CNS18_w,CNS19_w,CNS20_w,CR01_w,CR02_w,CR03_w,CR04_w,CR05_w,CR07_w,CT01_w,CT02_w,CD01_w,CD02_w,CD03_w,CD04_w,CS01_w,CS02_w,Shape_Length,Shape_Area
52,202,52,05192014download:52,52,954,1422,947,13,4,20,163,172,126,384,81,47,191,76,180,46,385,250,453,77,380,128,147,2770,323,80,92,8,50,2172,1151,436,633,817,568,1848,1475,6586,23555,33899,5,1269,958,756,558,506,471,13,2489,6073,873,2893,116,652,404,854,2735,3302,2052,37061,55292,4424,1285,1924,127,988,48351,15689,4809,11982,20391,16608,33174,30866,19338.698680284262000,5527877.268116159400000
53,158,53,05192014download:53,53,644,785,844,5,3,17,86,98,80,252,60,43,154,59,156,41,249,192,289,60,225,105,99,1776,239,66,141,5,46,1837,436,193,424,569,479,1299,974,8073,24583,34669,5,1269,958,734,556,490,2055,26,2498,6006,925,2997,116,1000,1491,769,2735,3502,2123,37070,58170,4557,1339,2081,134,1044,50953,16372,5093,12508,21093,17256,34452,32873,15150.567025513161000,4477212.521849369600000
54,158,54,05192014download:54,54,652,783,827,5,3,17,88,102,74,256,62,41,150,56,156,39,258,189,277,59,223,107,100,1780,228,61,141,6,46,1801,461,203,424,567,468,1302,960,8074,24593,34716,5,1269,958,716,556,478,2095,26,2497,6092,925,2979,116,1001,1439,764,2735,3515,2035,37182,58245,4554,1337,2069,134,1044,50961,16422,5101,12501,21105,17266,34494,32889,13049.879464038993000,3970675.313888129300000
55,619,55,05192014download:55,55,3750,6415,4008,74,19,110,881,1099,671,1636,562,213,769,229,604,176,1436,1199,1796,237,1356,419,687,12033,955,396,533,28,228,8706,5467,2057,2653,3392,2367,7272,6901,6557,7580,8007,10,0,4,590,1234,1105,2932,504,49,902,515,371,114,530,6191,1830,245,2918,570,1530,19573,1107,409,692,43,320,15259,6885,2678,4013,5355,4199,10464,11680,57575.945009911149000,21464215.037399825000000
56,473,56,05192014download:56,56,3824,6805,3874,117,24,79,788,932,713,1612,544,255,792,298,680,168,1608,1087,1909,241,1450,475,731,12141,1218,470,457,19,198,8740,5763,2100,2692,3470,2457,7469,7034,3286,5249,3330,7,3,0,565,118,357,3729,37,102,338,230,419,8,1287,613,2645,55,937,387,28,10129,738,309,496,16,177,8493,3372,1442,2286,2838,2165,5334,6531,43637.791550206930000,16847000.272541009000000
57,880,57,05192014download:57,57,5879,10535,6623,91,34,157,1206,1792,922,2596,848,364,1287,489,1101,311,2556,2186,2698,488,2301,716,894,18860,2199,718,749,84,427,14638,8399,2882,4103,5259,3848,11814,11223,11248,14330,10319,93,10,32,2040,2216,1730,7004,369,363,1152,601,2104,132,4219,4828,2792,691,4537,759,225,30815,2306,911,1284,68,513,26264,9633,3793,6568,8323,6197,18043,17854,93845.430560001725000,35244958.425859295000000
58,364,58,05192014download:58,58,2961,4884,3876,37,16,80,425,795,501,1381,414,210,759,258,718,168,1206,1304,1176,234,1269,404,366,9680,811,389,598,37,206,9313,2408,1065,1867,2556,2257,6361,5360,8711,13653,15790,16,7,1,982,1785,1732,2097,1226,492,3361,607,1812,923,2555,13148,1154,428,3889,905,1034,33147,1783,775,1769,72,608,30927,7227,2817,6213,9161,10595,20382,17772,40411.746492189617000,15312088.765255170000000
59,236,59,05192014download:59,59,1497,2740,2166,4,6,47,265,408,231,737,187,136,407,157,417,107,690,761,645,139,685,172,202,5183,462,256,389,15,98,5162,1241,518,977,1306,1279,3446,2957,7600,11773,14238,33,246,155,1431,3150,743,3589,311,441,3830,513,3366,1600,6503,284,647,820,3641,574,1734,29156,1807,719,1259,64,606,26688,6923,2715,5952,8343,7339,19262,14349,29906.449133758597000,11244413.018880054000000
60,304,60,05192014download:60,60,2000,3243,3538,14,18,66,336,780,340,988,257,167,520,197,551,132,853,1018,896,182,900,244,322,7254,479,282,623,15,128,7129,1652,722,1409,1914,2033,4745,4036,5464,7316,8985,5,12,155,1718,1061,890,1544,162,379,3422,463,1525,78,1321,2426,790,157,3450,530,1677,19057,974,542,767,31,394,16897,4868,1874,3789,5072,4901,11391,10374,36349.694565156133000,12883374.164008526000000
61,568,61,05192014download:61,61,3835,7158,4159,124,20,110,913,1145,710,1899,610,199,759,299,639,188,1483,1199,1985,238,1407,486,739,12944,1121,338,492,34,223,8873,6279,2205,2739,3544,2413,7709,7443,4387,4209,2316,0,2,1,810,281,304,3982,251,164,216,214,254,5,663,720,1002,108,1753,161,21,9586,518,265,351,11,181,7264,3648,1403,1935,2266,1469,5174,5738,58803.146003104972000,21263356.113343313000000
62,78,62,05192014download:62,62,234,357,271,25,0,18,46,64,46,113,41,15,25,13,21,7,60,103,104,10,84,15,52,744,57,12,30,0,19,530,332,140,170,193,153,442,420,1001,857,431,25,0,64,81,18,56,690,28,80,74,28,189,0,145,18,66,3,607,30,87,1953,121,103,67,1,44,1473,816,296,348,443,250,1105,1184,25627.569150153980000,5224618.545972954500000
